id,name,commune,district,lpro1x,lpro2x,lpro12x,pro1x,pro2x,pro12x,degreeorg,rtlm,alt_mean,distance,towns_mean,roads_mean,border_mean,lon,lat,cat1,cat2,distance_10kmpwALL,distance_sq_10kmpwALL,alt_mean_10kmpwALL,alt_mean_sq2_10kmpwALL,alt_var_10kmpwALL,lat_10kmpwALL,lon_10kmpwALL,alt_var_sq_10kmpwALL,cat12,alt_mean_sq2,alt_var,alt_var_sq,distance_sq,tutsi,cementfloor_hutu,cementfloor_tutsi,literacy_hutu2,literacy_tutsi2,education_hutu2,education_tutsi2,lpop,pop1000,pop_dens,lpop_dens,ltowns_mean,lroads_mean,lborder_mean,facing_N,facing_E,facing_S,facing_W,rtlm_perpop10_ALL,rtlm_perpop_10to20km,rtlm_rtlm10ALL,rtlm_wealthhutu_dm,rtlm_wealthtutsi_dm,rtlm_lithutu2_dm,rtlm_littutsi2_dm,rtlm_eduhutu2_dm,rrwanda_all,RR_distance,RR_distance_sq,R10_distance,R10_distance_sq,rtlm_lpop,rtlm_lpop_dens,rtlm_ltowns_mean,rtlm_lroads_mean,rtlm_lborder_mean,rtlm_facing_E,rtlm_facing_N,rtlm_facing_S,rtlm_alt_mean,rtlm_alt_mean_sq2,rtlm_alt_var,rtlm_alt_var_sq,rtlm_distance,rtlm_distance_sq,rtlm_lat,rtlm_lon,rtlm_tutsi2,cdum1,cdum2,cdum3,cdum4,cdum5,cdum6,cdum7,cdum8,cdum9,cdum10,cdum11,cdum12,cdum13,cdum14,cdum15,cdum16,cdum17,cdum18,cdum19,cdum20,cdum21,cdum22,cdum23,cdum24,cdum25,cdum26,cdum27,cdum28,cdum29,cdum30,cdum31,cdum32,cdum33,cdum34,cdum35,cdum36,cdum37,cdum38,cdum39,cdum40,cdum41,cdum42,cdum43,cdum44,cdum45,cdum46,cdum47,cdum48,cdum49,cdum50,cdum51,cdum52,cdum53,cdum54,cdum55,cdum56,cdum57,cdum58,cdum59,cdum60,cdum61,cdum62,cdum63,cdum64,cdum65,cdum66,cdum67,cdum68,cdum69,cdum70,cdum71,cdum72,cdum73,cdum74,cdum75,cdum76,cdum77,cdum78,cdum79,cdum80,cdum81,cdum82,cdum83,cdum84,cdum85,cdum86,cdum87,cdum88,cdum89,cdum90,cdum91,cdum92,cdum93,cdum94,cdum95,cdum96,cdum97,cdum98,cdum99,cdum100,cdum101,cdum102,cdum103,cdum104,cdum105,cdum106,cdum107,cdum108,cdum109,cdum110,cdum111,cdum112,cdum113,cdum114,cdum115,cdum116,cdum117,cdum118,cdum119,cdum120,cdum121,cdum122,cdum123,cdum124,cdum125,cdum126,cdum127,cdum128
1,KIBANGIRA,Bugarama,RUSIZI,3.6109178,5.8861041,5.9814143,.0075541036,.073499389,.080849327,.091139242,0,1.0142701,12.0653,25.192001,1.5511,.90366101,393.01282,9702.081,36,359,1.6796644,19.764088,.18040575,.23067835,2807.5398,1386779.5,55469.871,74052480,395,1.0287437,3730.1677,13914151,145.57146,.018825639,.075017363,.14285715,48.809891,97.892128,60.895805,48.333336,8.496582,4.8979998,207.94063,5.3372526,3.2654541,.93652463,.64377886,0,0,0,1,0,.023533639,0,.42659435,1.0425963,.27560782,-1.0604432,-.56445515,.831782,18.540679687,343.75681,138.39384375,19152.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,GIKUNDAMVURA,Bugarama,RUSIZI,2.9957323,5.5683446,5.6383548,.002897291,.037954513,.04070694,.067857146,0,1.1410601,11.2834,19.584,6.31989,2.0740499,393.38968,9710.362999999999,19,261,.74983716,8.4517155,.090456851,.12518904,1328.108,647482.75,26009.75,40978244,280,1.3020182,17083.012,291829280,127.31512,.018825639,.075017363,.14285715,48.809891,97.892128,60.895805,48.333336,8.8397112,6.9029999,229.6476,5.4365458,3.0245142,1.9905953,1.1229959,0,0,0,1,.019561928,.1047973,0,.42659435,1.0425963,.27560782,-1.0604432,-.56445515,.821398,10.945683593,119.80799,135.272328125,18298.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUGANZA,Bugarama,RUSIZI,4.0775375,6.2614918,6.3664703,.0064509073,.057292804,.063634373,.099827886,0,1.0648299,11.628,19.706001,3.4797502,3.9472899,390.27341,9707.960999999999,58,523,.76369935,8.7668409,.091887303,.12877172,1595.0669,647372.31,25918.482,51511564,581,1.1338629,6624.4141,43882860,135.21039,.018825639,.075017363,.14285715,48.809891,97.892128,60.895805,48.333336,9.1210718,9.1459999,415.88794,6.030416,3.0304236,1.4995673,1.59884,0,1,0,0,.014863838,.080073804,0,.42659435,1.0425963,.27560782,-1.0604432,-.56445515,.588889,12.143146484,147.45601,139.418828125,19437.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NYABINTARE,Bugarama,RUSIZI,4.3694477,5.7899604,6.0038872,.021077909,.08724653,.10805763,.19306931,0,1.35197,11.4703,16.255001,3.9905899,6.1525202,388.26682,9710.607,78,326,.43994522,5.0431747,.055755936,.082982272,726.18756,373523.94,14888.339,21351440,404,1.8278228,8990.5469,80829936,131.56778,.018825639,.075017363,.14285715,48.809891,97.892128,60.895805,48.333336,8.2289772,3.7479999,853.7196,6.7496028,2.8481019,1.6075541,1.9674647,1,0,0,0,.018333247,.18526475,0,.42659435,1.0425963,.27560782,-1.0604432,-.56445515,.476923,8.850762695,78.335999,140.045859375,19612.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,MUHEHWE,Bugarama,RUSIZI,3.7612002,5.5834961,5.7300997,.0063912012,.039536268,.045778833,.13680781,0,1.36036,11.7823,18.113001,1.8665699,5.4871297,386.90167,9707.808999999999,42,265,.55259675,6.4212065,.067841575,.099304676,836.93451,462389.59,18394.008,25109284,307,1.8505794,15720.395,247130800,138.82259,.018825639,.075017363,.14285715,48.809891,97.892128,60.895805,48.333336,8.8140335,6.7280002,503.70969,6.2220001,2.9503689,1.0531162,1.8698202,0,1,0,0,.011770829,.11267745,0,.42659435,1.0425963,.27560782,-1.0604432,-.56445515,.435057,11.559930664,133.632,137.097859375,18795.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NZAHAHA,Bugarama,RUSIZI,0,3.3322046,3.3322046,.00021137181,.0059184106,.0059184106,0,0,1.31126,12.0341,20.039999,.305466,3.0901899,386.68619,9705.137000000001,0,27,.78273892,9.1975622,.092104048,.1303722,1004.0862,647247.88,25744.35,22917390,27,1.7194028,30645.303,939134592,144.81956,.018825639,.075017363,.14285715,48.809891,97.892128,60.895805,48.333336,8.4618921,4.7309999,390.685,5.9679017,3.0464253,.26656008,1.4085914,0,0,0,1,.00093443564,.066935919,0,.42659435,1.0425963,.27560782,-1.0604432,-.56445515,.40335,14.4,207.36,135.004890625,18226.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,BUTAMBAMO,Gishoma,RUSIZI,2.3978953,4.5325994,4.6347289,.0024954628,.021098003,.023366606,.098039217,0,1.39498,12.1469,20.851,.91881204,2.28598,385.03851,9704.666999999999,10,92,.84162849,9.9233751,.10005386,.14339882,1027.1902,693468.56,27537.363,22442164,102,1.9459691,38825.551,1507423360,147.54718,.17227195,.057651676,.070224717,51.569862,86.561264,64.82618,76.310684,8.3911762,4.408,463.14685,6.1380444,3.0842466,.65170628,1.189665,0,0,1,0,.0010274734,.071844317,0,.7486167,2.3894629,-.23619027,1.0407069,-1.293288,.511586,14.431964843,208.28162,133.9543125,17943.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,RUHOKO,Gishoma,RUSIZI,3.4965076,5.0998664,5.2781148,.0073122093,.036339466,.04343009,.16410257,0,1.4511701,12.2777,20.452,2.19818,1.4055101,383.40808,9704.004000000001,32,163,.90953058,10.758762,.10732349,.15351915,1018.5717,746782.13,29646.689,21551348,195,2.1058946,34453.672,1187055488,150.74191,.17227195,.057651676,.070224717,51.569862,86.561264,64.82618,76.310684,8.4147177,4.513,322.80444,5.7770467,3.0658178,1.1625819,.87776196,0,0,1,0,0,.065876998,0,.7486167,2.3894629,-.23619027,1.0407069,-1.293288,.407966,15.627667968,244.224,132.91190625,17665.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NYENJI,Gishoma,RUSIZI,2.4849067,4.8040209,4.8903489,.0038338657,.038977634,.042492013,.083333336,0,1.54185,12.2955,18.038,4.0288901,.75463802,379.58569,9705.742,11,121,.985165,11.652733,.12536237,.19004491,1375.3888,809082.63,31976.137,34697180,132,2.3773012,14533.749,211229856,151.17932,.17227195,.057651676,.070224717,51.569862,86.561264,64.82618,76.310684,8.0487881,3.1300001,353.21735,5.8670835,2.9464369,1.6151992,.56226259,0,0,1,0,0,.05408106,0,.7486167,2.3894629,-.23619027,1.0407069,-1.293288,.512821,15.026376953,225.79201,131.927703125,17404.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,KIRANGA,Gishoma,RUSIZI,2.9444389,5.1119876,5.2149358,.0038152609,.033333335,.036947791,.098360658,0,1.59886,12.0736,15.767,2.5925999,1.4295,379.94382,9708.069,18,165,.73262405,8.5955057,.096004918,.14884833,1100.2504,606882.94,23981.305,31689990,183,2.5563533,10949.529,119892192,145.77182,.17227195,.057651676,.070224717,51.569862,86.561264,64.82618,76.310684,8.5131855,4.98,572.45325,6.3499312,2.8194127,1.2788762,.88768548,1,0,0,0,.0003822273,.096740171,0,.7486167,2.3894629,-.23619027,1.0407069,-1.293288,.832685,13.336746093,177.86879,133.01075,17691.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
